Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST?,STL,BLK,TOV,PF,PTS
217,Max Christie,SG,20,LAL,19,5,17,1.8,4.3,0.415,0.6,2,0.316,1.2,2.3,0.5,0.488,0.5,0.7,0.714,0.2,2.4,2.6,1,0.4,0.2,0.6,1.5,4.7
218,Rudy Gobert,C,31,MIN,22,22,32.5,5,8.2,0.613,0,0,,5,8.2,0.613,0.613,3.2,5,0.636,3.9,8.4,12.2,1,0.5,2.5,1.6,2.9,13.3
219,Derrick Jones Jr.,SF,26,DAL,22,21,23.4,3.6,7.2,0.497,1.6,4.2,0.387,2,3,0.652,0.61,1.1,1.5,0.727,1.2,2.6,3.8,1,0.6,0.9,0.9,1.6,9.9
220,Moses Moody,SG,21,GSW,23,4,19.2,3.1,6.5,0.48,1.2,3.3,0.36,2,3.3,0.6,0.57,1.2,1.7,0.737,1.3,2.2,3.5,1,0.7,0.3,0.7,1.6,8.7
221,Aaron Nesmith,SF,24,IND,19,1,24.4,4.1,7.4,0.55,1.8,3.9,0.459,2.3,3.5,0.652,0.671,1.2,1.8,0.657,0.8,2.2,2.9,1,0.9,0.6,0.6,3.4,11.1
222,Paul Reed,C,24,PHI,22,1,14,2.3,3.8,0.595,0.2,0.5,0.4,2.1,3.4,0.622,0.619,0.3,0.4,0.667,1.7,2.5,4.3,1,0.5,0.6,0.9,2.1,5
223,Day'Ron Sharpe,C,22,BRK,22,0,16,2.8,4.9,0.565,0,0.2,0,2.8,4.7,0.587,0.565,1.3,2.1,0.617,2.4,4.4,6.8,1,0.4,0.8,1.2,2.3,6.9
224,Cody Zeller,C,31,NOP,19,0,9.7,0.5,1.7,0.303,0,0.1,0,0.5,1.7,0.313,0.303,0.7,1.3,0.542,1.2,1.8,3,1,0.2,0.1,0.3,1.2,1.7
225,Keita Bates-Diop,SF,28,PHO,20,8,18.1,1.9,4.8,0.4,0.5,1.9,0.263,1.4,2.9,0.491,0.453,1.2,1.6,0.719,1,2.2,3.2,0.9,0.6,0.8,0.3,1,5.5
226,MarJon Beauchamp,SF,23,MIL,19,0,16.2,1.9,4.2,0.468,0.8,1.9,0.432,1.1,2.2,0.5,0.57,0.5,0.8,0.563,0.7,1.7,2.4,0.9,0.3,0.2,0.6,1.7,5.2
227,John Collins,PF,26,UTA,22,22,31,5.5,11.4,0.482,1.4,3.7,0.383,4.1,7.7,0.529,0.544,2,2.7,0.75,2.7,5.9,8.6,0.9,0.6,1,1.4,2.8,14.5
228,Robert Covington,SF-PF,33,TOT,21,6,17.8,1.7,3.8,0.45,0.9,2.3,0.388,0.8,1.5,0.548,0.569,1,1.1,0.87,1.3,2.2,3.5,0.9,1.4,0.7,0.3,1.9,5.3
229,Seth Curry,SG,33,DAL,19,3,12.2,1.6,4.1,0.403,0.9,2.3,0.386,0.7,1.7,0.424,0.513,0.4,0.5,0.889,0.5,1,1.5,0.9,0.6,0.2,0.3,0.7,4.6
230,Chris Duarte,SF,26,SAC,20,5,13.6,1.5,3.8,0.387,0.7,2.3,0.311,0.8,1.5,0.5,0.48,0.7,0.9,0.778,0.2,1.6,1.8,0.9,0.6,0.1,0.6,2.4,4.3
231,Sam Hauser,SF,26,BOS,22,2,22.7,3.2,7,0.464,2.7,6.1,0.444,0.5,0.8,0.611,0.66,0.4,0.5,0.8,0.9,2.6,3.5,0.9,0.5,0.4,0.5,1.5,9.5
232,Jonathan Kuminga,PF,21,GSW,22,1,20.5,4.4,9.3,0.475,0.7,2.4,0.283,3.7,6.9,0.543,0.512,2.4,3.6,0.663,1,2.5,3.5,0.9,0.6,0.3,1.4,2.5,11.9
233,Bryce McGowens,SG,21,CHO,16,1,15.6,1.4,3.2,0.451,0.9,2,0.438,0.6,1.2,0.474,0.588,0.6,0.8,0.75,0.3,1.4,1.7,0.9,0.4,0.1,0.6,1.4,4.3
234,Naz Reid,C,24,MIN,22,0,22,4.9,9.9,0.495,1.6,4.5,0.364,3.3,5.4,0.605,0.578,1.3,1.5,0.906,1.1,3.4,4.5,0.9,0.7,0.6,1,1.6,12.8
235,Peyton Watson,SF,21,DEN,23,0,16.1,1.9,4,0.462,0.2,1,0.182,1.7,3.1,0.549,0.484,0.8,1.2,0.667,0.5,1.5,2,0.9,0.5,1,0.6,1.5,4.7
236,Christian Wood,PF,28,LAL,22,1,19.7,2.4,5.4,0.445,0.6,2.4,0.264,1.8,3,0.591,0.504,1.4,2,0.689,1,4.9,5.9,0.9,0.2,0.5,1.3,1.7,6.9
237,Ivica Zubac,C,26,LAC,23,23,26.7,5.2,8.3,0.626,0,0,,5.2,8.3,0.626,0.626,1.7,2.8,0.585,3,6,9,0.9,0.2,1.4,1.2,2.8,12
238,Dean Wade,PF,27,CLE,17,10,20.7,1.4,3.6,0.371,1.1,3.3,0.339,0.2,0.4,0.667,0.524,0.3,0.5,0.625,1.2,3.1,4.3,0.8,1,0.2,0.5,2.2,4.1
239,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,0.592,0,0,,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2
240,Tristan Thompson,PF,32,CLE,19,0,10.2,1.2,1.7,0.697,0,0,,1.2,1.7,0.697,0.697,0.4,0.9,0.412,1.4,1.8,3.2,0.7,0.1,0.4,0.5,0.8,2.8
241,Jabari Walker,SF,21,POR,22,0,18.2,2.8,6.2,0.456,0.5,2,0.267,2.3,4.1,0.549,0.5,1.3,1.6,0.778,1.5,3.4,4.9,0.7,0.8,0.4,1,2.3,7.5
242,Aaron Wiggins,SG,25,OKC,20,0,12.1,1.9,3.2,0.603,0.6,1.2,0.478,1.4,2,0.675,0.69,0.8,1.1,0.714,0.6,1.5,2.1,0.7,0.5,0.1,0.5,1.1,5.1
243,Andre Drummond,C,30,CHI,25,0,13.2,2.4,4.9,0.492,0,0,0,2.4,4.8,0.496,0.492,1.3,2.2,0.589,3.1,3.8,6.9,0.6,1,0.4,1,1.6,6.1
244,Jeff Green,PF,37,HOU,19,0,15.4,1.9,3.6,0.529,0.4,1.3,0.333,1.5,2.3,0.636,0.588,2,2.5,0.809,0.8,1.5,2.3,0.6,0.2,0.4,0.5,1.3,6.2
245,Andre Jackson Jr.,SG,22,MIL,17,3,7.7,0.8,1.3,0.636,0.4,0.6,0.545,0.5,0.6,0.727,0.773,0,0,,0.6,0.6,1.2,0.6,0.3,0,0.5,1.4,2
246,Luke Kornet,C,28,BOS,17,0,12.9,1.9,2.5,0.744,0,0,,1.9,2.5,0.744,0.744,0.6,0.7,0.833,1.5,1.8,3.3,0.6,0.5,0.8,0.4,1.1,4.4
247,JT Thor,PF,21,CHO,18,1,16.1,1.4,3.6,0.406,0.7,1.9,0.343,0.8,1.6,0.483,0.5,0,0.2,0,0.8,1.9,2.7,0.6,0.3,0.3,0.2,1.2,3.6
248,Yuta Watanabe,SF,29,PHO,17,0,18.4,1.6,4.6,0.359,1.4,3.8,0.359,0.3,0.8,0.357,0.506,0.5,0.8,0.692,0.5,1.7,2.2,0.6,0.4,0.4,0.8,1.6,5.2
249,JaVale McGee,C,36,SAC,20,0,9.1,2.2,3.2,0.672,0,0.1,0,2.2,3.2,0.683,0.672,0.6,1,0.55,1.3,2.1,3.4,0.5,0.3,0.6,1,1.3,4.9
250,Zeke Nnaji,PF,23,DEN,20,0,10.6,1.3,2.7,0.491,0.2,0.4,0.375,1.2,2.3,0.511,0.519,0.9,1.5,0.621,1.2,1.2,2.4,0.5,0.2,0.6,0.6,1.5,3.7
251,Sasha Vezenkov,PF,28,SAC,19,0,14.5,2.4,5.3,0.446,1.2,3.3,0.371,1.2,2.1,0.564,0.559,0.3,0.4,0.75,0.6,1.9,2.5,0.5,0.5,0.3,0.4,1.2,6.3
252,Chris Boucher,PF,31,TOR,21,0,14.4,2.2,5,0.438,0.7,2,0.341,1.5,3,0.5,0.505,1.6,1.9,0.825,1.3,2.6,3.9,0.4,0.3,0.5,0.5,1.8,6.6
253,Jaxson Hayes,C,23,LAL,21,0,11.2,1.2,1.9,0.641,0,0.2,0,1.2,1.7,0.714,0.641,0.6,1,0.545,0.5,1.3,1.8,0.4,0.2,0.4,0.7,2,3
254,Nick Richards,C,26,CHO,15,2,18.7,2.9,4.1,0.694,0,0,,2.9,4.1,0.694,0.694,2.5,3.1,0.826,1.9,4.3,6.2,0.4,0.4,1.1,1.1,2.6,8.3
255,Kessler Edwards,SF,23,SAC,17,0,6,0.5,1.4,0.375,0.3,0.9,0.333,0.2,0.5,0.444,0.479,0.1,0.1,0.5,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.5,1.4
