Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST?,STL,BLK,TOV,PF,PTS
55,Kyle Lowry,PG,37,MIA,22,22,29.6,3,7.1,0.429,2,4.9,0.421,1,2.2,0.449,0.574,1,1.2,0.815,0.8,3.3,4.1,4.3,1.2,0.3,1.4,2.7,9.1
56,T.J. McConnell,PG,31,IND,15,0,14.3,3.3,6.1,0.543,0.1,0.5,0.143,3.3,5.7,0.576,0.549,0.7,1.1,0.688,0.5,1.8,2.3,4.3,0.9,0.1,1.1,1.2,7.5
57,Talen Horton-Tucker,PG,23,UTA,23,8,21.7,3.6,9.1,0.39,1.3,3.8,0.33,2.3,5.3,0.434,0.46,1.3,1.5,0.853,0.4,2.3,2.7,4.2,0.9,0.5,1.9,2.3,9.7
58,Khris Middleton,SF,32,MIL,19,19,22.2,4.7,10.1,0.469,1.4,3.8,0.361,3.4,6.3,0.533,0.536,1.6,2,0.789,0.8,4,4.8,4.2,0.8,0.1,1.9,1.9,12.4
59,Jayson Tatum,PF,25,BOS,22,22,36.8,9.5,19.4,0.491,3,8.6,0.349,6.5,10.8,0.603,0.568,5.4,6.7,0.803,0.6,8.1,8.8,4.2,1,0.4,3.2,2.3,27.4
60,Andrew Nembhard,PG,24,IND,17,2,18.1,3.1,6.7,0.456,0.5,2.2,0.243,2.5,4.5,0.558,0.496,0.4,0.5,0.667,0.5,1.2,1.7,4.1,0.9,0.1,1.3,1.9,7
61,Jeremy Sochan,PG,20,SAS,22,21,29.2,4.2,9.9,0.429,0.9,2.3,0.373,3.4,7.5,0.446,0.472,1.5,2,0.791,1.4,3.7,5.1,4.1,0.7,0.3,2.5,2.8,10.9
62,Mikal Bridges,SF,27,BRK,22,22,34.9,8.4,17,0.492,2.2,5.6,0.387,6.2,11.4,0.544,0.556,4.2,4.9,0.869,1.1,4.9,6,4,1,0.5,2.5,1.7,23.1
63,Paul George,PF,33,LAC,23,23,35.1,7.8,17.5,0.445,3.1,8.1,0.385,4.7,9.3,0.498,0.535,3.9,4.2,0.928,0.7,5.2,5.9,4,1.7,0.3,2.3,2.8,22.6
64,Keldon Johnson,SF,24,SAS,21,21,33,6.1,13.2,0.466,2,5.7,0.35,4.1,7.5,0.554,0.542,2.4,3.2,0.761,1.1,5.3,6.5,4,1,0.3,1.4,2.5,16.7
65,Jusuf Nurki?,C,29,PHO,23,23,28.1,4.3,9.3,0.46,0.7,2.5,0.281,3.6,6.9,0.525,0.498,2.7,3.8,0.724,2.7,6.6,9.3,4,1,1.2,2,3.6,12
66,Kyle Anderson,PF,30,MIN,22,0,23.7,2.7,5.9,0.465,0.1,0.8,0.111,2.6,5,0.523,0.473,1.6,2.4,0.692,0.8,3,3.8,3.9,0.8,0.9,1.5,1.4,7.2
67,Deni Avdija,SF,23,WAS,22,22,26.8,4.8,9.2,0.52,1,2.9,0.349,3.8,6.3,0.597,0.574,1.5,1.8,0.825,1.2,4.3,5.5,3.9,0.9,0.4,1.5,2.2,12
68,Max Strus,SF,27,CLE,24,24,34.8,5,12.1,0.417,2.9,7.8,0.367,2.2,4.3,0.51,0.536,1.1,1.4,0.794,0.8,4.8,5.5,3.9,1,0.5,1.5,2.9,14.1
69,Zach Collins,C,26,SAS,22,20,28.1,5,10.4,0.478,1,3.9,0.271,3.9,6.5,0.601,0.529,2.2,2.7,0.8,2,4.2,6.2,3.8,0.7,0.6,2.7,3.4,13.1
70,De'Anthony Melton,SG,25,PHI,22,22,30.1,4.2,10.6,0.395,2.3,6.1,0.381,1.9,4.5,0.414,0.504,2.2,2.7,0.8,0.8,3.3,4,3.8,1.5,0.5,1.4,2.5,12.9
71,Franz Wagner,SF,22,ORL,23,23,33.1,7.6,16.6,0.458,1.5,5,0.304,6.1,11.6,0.524,0.504,3.9,4.7,0.832,1.2,4.5,5.7,3.7,1,0.3,1.7,2.1,20.6
72,Jalen Williams,PF,22,OKC,19,19,32.5,6.6,12.8,0.516,1.1,2.8,0.389,5.5,10,0.553,0.559,3.4,3.9,0.878,0.3,3.8,4.2,3.7,0.8,0.3,1.8,2.9,17.8
73,Cole Anthony,PG,23,ORL,23,0,25.6,5,11,0.453,1.4,3.7,0.372,3.6,7.3,0.494,0.516,3.7,4.4,0.842,1.1,3.4,4.5,3.6,0.7,0.5,1.9,3,15.1
74,Aaron Gordon,PF,28,DEN,21,21,32.8,5.4,11,0.494,0.5,2,0.233,5,9,0.553,0.515,1.5,3,0.516,2.9,4.4,7.3,3.6,1,0.7,1.6,1.8,12.9
75,Kawhi Leonard,SF,32,LAC,23,23,34.7,8.7,17.2,0.503,2.3,5.5,0.421,6.3,11.7,0.541,0.569,3.7,4.3,0.869,0.9,4.9,5.8,3.6,1.6,0.7,1.5,1.5,23.3
76,Kelly Olynyk,C,32,UTA,21,2,20.9,2.6,4.6,0.573,0.8,1.8,0.459,1.8,2.8,0.644,0.661,1.6,1.8,0.892,1.7,3.8,5.5,3.6,0.8,0.2,1.9,2.9,7.6
77,Shaedon Sharpe,SG,20,POR,22,21,37.1,6.5,15.1,0.426,2.3,6.2,0.365,4.2,8.9,0.469,0.502,3.6,4.4,0.823,1.5,4.2,5.6,3.6,1,0.4,2.9,3,18.8
78,Joe Ingles,SF,36,ORL,23,0,18.7,1.7,4,0.409,1,2.6,0.407,0.6,1.5,0.412,0.538,0.7,0.8,0.895,0.4,2.3,2.8,3.5,0.8,0.1,0.9,1.6,5.1
79,Caris LeVert,SG,29,CLE,17,1,29.9,5.4,13.2,0.411,1.6,5.4,0.308,3.8,7.8,0.481,0.473,2.2,2.9,0.74,0.4,3.2,3.6,3.5,0.9,0.4,1.4,1.8,14.6
80,Zach LaVine,SG,28,CHI,18,18,35.3,7.3,16.6,0.443,2.4,7.1,0.336,4.9,9.4,0.524,0.515,3.9,4.6,0.866,0.3,4.6,4.9,3.4,0.9,0.2,2,2.1,21
81,Jaylen Brown,SF,27,BOS,21,21,34,8.6,18.3,0.468,2.3,6.8,0.336,6.3,11.5,0.545,0.53,2.7,3.7,0.718,0.6,4.1,4.8,3.3,1.2,0.7,2.5,3,22.1
82,Royce O'Neale,SF,30,BRK,21,5,28.6,2.7,7.1,0.38,2.4,6,0.4,0.3,1.2,0.28,0.547,0.3,0.6,0.583,0.8,4.6,5.4,3.3,0.8,0.8,0.9,2.8,8.1
83,Jordan Poole,SG,24,WAS,21,21,29,5.9,14.8,0.4,1.8,6.1,0.295,4.1,8.6,0.475,0.461,3.1,3.6,0.867,0.4,2.1,2.5,3.3,1,0.3,2.9,3.1,16.7
84,Nikola Vu?evi?,C,33,CHI,25,25,34.4,7,15.4,0.455,0.9,3.5,0.261,6.1,11.9,0.512,0.484,1.4,1.7,0.857,2.9,7.6,10.5,3.3,0.8,0.8,1.8,2.8,16.4
85,Collin Sexton,SG,25,UTA,23,0,20.7,4.2,9.4,0.447,1.1,3.3,0.325,3.1,6.1,0.514,0.505,3.1,3.6,0.878,0.9,1.8,2.7,3.2,0.5,0.2,1.9,1.7,12.7
86,Dyson Daniels,PG,20,NOP,24,12,25.2,2.7,6.6,0.403,0.7,2.8,0.254,2,3.8,0.511,0.456,0.8,1.3,0.667,1.1,3.5,4.6,3.1,1.5,0.4,1.2,2,6.9
87,Anthony Davis,C,30,LAL,23,23,35.1,8.8,16.2,0.543,0.2,0.7,0.267,8.6,15.5,0.555,0.548,5.6,6.8,0.822,3.7,8.9,12.6,3.1,1,2.7,2,2.7,23.3
88,Josh Richardson,SG,30,MIA,20,4,27.9,3.8,8.5,0.444,1.4,4.3,0.314,2.4,4.2,0.578,0.524,1.4,1.6,0.903,0.5,2.2,2.7,3.1,0.6,0.3,1.1,1.8,10.3
89,Jalen Green,SG,21,HOU,20,20,31.4,6.2,14.8,0.419,2.1,6.1,0.336,4.2,8.7,0.477,0.488,4.1,5.1,0.794,0.4,4.2,4.6,3,0.5,0.4,2.4,1.5,18.5
90,Josh Hart,SF,28,NYK,22,5,28.6,3.4,7,0.49,1.2,3,0.4,2.2,4,0.557,0.575,0.5,0.8,0.706,1.1,5,6.1,3,1,0.3,1,2,8.5
91,Karl-Anthony Towns,PF,28,MIN,22,22,33.2,7.8,15.3,0.507,2.1,4.9,0.426,5.7,10.4,0.546,0.576,4,4.5,0.898,1.2,7.9,9.1,3,0.9,0.7,2.9,3.5,21.6
92,Grayson Allen,SG,28,PHO,19,19,33.1,4.1,8.5,0.481,2.3,4.9,0.468,1.8,3.6,0.5,0.617,1.8,2,0.895,0.7,3.8,4.5,2.9,0.7,0.4,1.5,2.3,12.3
93,Eric Gordon,SG,35,PHO,21,16,32,5.4,11.7,0.463,2.7,6.8,0.399,2.7,4.9,0.553,0.579,0.7,0.8,0.824,0.3,1.7,2,2.9,1,0.6,1.6,1.5,14.2
94,Herbert Jones,SF,25,NOP,21,21,31.1,4.1,8.1,0.503,1.2,3.5,0.342,2.9,4.7,0.622,0.576,2.7,3,0.875,1.3,3.3,4.6,2.9,1.7,1.2,1.5,3.5,12
95,Evan Mobley,PF,22,CLE,21,21,33.6,6.8,11.8,0.573,0.1,0.5,0.2,6.7,11.3,0.588,0.577,2.4,3.1,0.769,2.7,7.8,10.5,2.9,0.8,1.7,2.3,2.9,16
96,Payton Pritchard,PG,26,BOS,22,0,20,2.2,5.9,0.38,1.2,3.8,0.321,1,2,0.489,0.484,0.5,0.6,0.769,0.9,2.2,3.1,2.9,0.4,0,0.5,1,6.1
97,Duncan Robinson,SF,29,MIA,21,13,29.6,5.3,11,0.478,3,7,0.426,2.3,4,0.571,0.614,1.2,1.4,0.833,0.3,2.5,2.8,2.9,0.4,0.1,1.1,2.4,14.8
98,Jacob Gilyard,PG,25,MEM,16,7,14.8,1.2,2.8,0.422,1,2.5,0.4,0.2,0.3,0.6,0.6,0.1,0.1,1,0.4,0.8,1.1,2.8,0.6,0.1,0.5,1,3.4
99,Kevin Huerter,SG,25,SAC,21,21,26.3,4.3,10,0.429,2.3,6.3,0.368,2,3.7,0.532,0.545,0.7,0.8,0.824,0.6,3.8,4.4,2.8,0.8,0.3,0.8,2.3,11.6
100,Immanuel Quickley,SG,24,NYK,21,0,24.2,5,11.7,0.427,2,5.6,0.364,3,6.1,0.484,0.514,3,3.3,0.9,0.2,2.7,2.9,2.8,0.4,0.1,1.1,1.6,15
101,Devin Vassell,SG,23,SAS,17,11,28.8,6.5,13.7,0.472,2.6,7,0.37,3.9,6.7,0.579,0.567,2.3,3,0.765,0.5,2.8,3.3,2.8,0.9,0.1,1.4,1.1,17.8
102,Tobias Harris,PF,31,PHI,22,22,34.9,6.4,12.5,0.509,1,3,0.318,5.4,9.5,0.569,0.547,3.2,3.6,0.886,1,5.1,6,2.7,1,0.3,1.8,1.7,16.9
103,Al Horford,C,37,BOS,20,8,26.4,2.9,5.9,0.487,1.3,3.7,0.356,1.6,2.2,0.705,0.598,0.4,0.4,1,1.7,5.1,6.7,2.7,0.5,1,1,1.7,7.4
104,Jaden Ivey,SG,21,DET,19,6,23.6,4.1,8.5,0.484,0.9,3.1,0.305,3.2,5.4,0.588,0.54,2.4,2.9,0.818,0.7,1.9,2.7,2.7,0.8,0.4,1.9,2.6,11.5
105,Marcus Sasser,PG,23,DET,22,0,17.4,3,6.6,0.459,1.2,3.1,0.391,1.8,3.5,0.519,0.551,0.4,0.4,1,0.1,1.7,1.8,2.7,0.6,0.1,0.7,1.4,7.7
106,Jalen Suggs,SG,22,ORL,21,21,26.1,4.2,9.2,0.456,1.6,4.2,0.371,2.6,5,0.529,0.541,2.2,2.7,0.821,0.7,2.8,3.5,2.7,1.8,0.6,2,2.8,12.1
107,Nickeil Alexander-Walker,SG,25,MIN,22,11,23.9,2.6,6.4,0.404,1.5,4.2,0.344,1.1,2.2,0.521,0.518,0.4,0.7,0.6,0.5,1.6,2.1,2.6,0.9,0.7,1.2,2,7
108,RJ Barrett,SG,23,NYK,17,17,29.7,6.8,15.5,0.436,2,5.2,0.382,4.8,10.3,0.463,0.5,4.1,4.9,0.831,0.6,3.2,3.8,2.6,0.5,0.2,1.8,1.4,19.6
109,Bruce Brown,SG,27,IND,21,21,32.1,4.5,9.7,0.466,1.2,3.7,0.338,3.3,6,0.543,0.529,2.2,2.6,0.836,0.6,4,4.6,2.6,1.2,0.2,1.1,2.4,12.5
110,Buddy Hield,SF,31,IND,21,9,25.7,5,10.9,0.459,2.9,7.3,0.396,2.1,3.6,0.587,0.592,0.5,0.6,0.846,0.7,2.5,3.2,2.6,0.9,0.6,1.4,2,13.4
111,Kevon Looney,C,27,GSW,23,20,22,2.3,3.9,0.578,0,0,,2.3,3.9,0.578,0.578,1,1.4,0.688,2.7,5.5,8.3,2.6,0.7,0.3,0.9,2.6,5.5
112,Victor Wembanyama,PF,20,SAS,21,21,30.4,7,16.3,0.431,1.3,5.1,0.25,5.8,11.2,0.515,0.471,3.4,4.2,0.809,2.4,8.2,10.6,2.6,1.2,2.8,3.4,2.5,18.8
113,Patrick Beverley,PG,35,PHI,22,1,18,1.8,4.1,0.44,0.7,2.2,0.313,1.1,2,0.581,0.522,0.6,0.8,0.722,0.9,2.2,3.1,2.5,0.5,0.3,0.7,1.9,4.9
114,Kentavious Caldwell-Pope,SG,30,DEN,25,25,32.9,3.6,8.1,0.45,1.4,3.6,0.404,2.2,4.5,0.487,0.54,1.8,2,0.902,0.4,1.5,1.9,2.5,1.4,0.4,1.2,2,10.6
115,Chet Holmgren,C,21,OKC,22,22,29.8,6,11.5,0.524,1.6,4.2,0.38,4.5,7.4,0.605,0.593,3.4,3.8,0.881,1.7,6.1,7.8,2.5,0.9,2.4,2,2.8,17
116,Jaime Jaquez Jr.,SF,22,MIA,23,4,27.2,5,9.4,0.525,1.2,3,0.386,3.8,6.4,0.592,0.588,1.3,1.6,0.838,1,2.4,3.5,2.5,1,0.2,1.6,2.5,12.4
117,Kevin Love,PF,35,MIA,17,4,18.4,2.8,6.5,0.427,1.7,4.7,0.363,1.1,1.8,0.6,0.559,1.6,1.9,0.848,1,5.5,6.5,2.5,0.2,0.1,0.5,1.9,8.9
118,Ish Smith,PG,35,CHO,15,0,15.6,1.5,2.6,0.59,0.1,0.2,0.667,1.4,2.4,0.583,0.615,0,0,,0.3,1.3,1.6,2.5,0.4,0.1,1.3,1,3.2
119,Ausar Thompson,SF,21,DET,23,19,27.6,4.4,9.6,0.457,0.3,2.1,0.146,4.1,7.5,0.543,0.473,1.5,2.2,0.68,3,5.5,8.4,2.5,1,1.3,1.9,3.6,10.6
120,P.J. Washington,PF,25,CHO,20,12,31.1,5.3,12.3,0.433,2,6.1,0.328,3.3,6.2,0.537,0.514,1.4,2,0.718,1.2,4.2,5.4,2.5,0.7,1,1.5,2.9,14
121,OG Anunoby,SF,26,TOR,19,19,32.7,5.8,12.4,0.468,2.6,6.7,0.394,3.2,5.7,0.556,0.574,1.4,2,0.684,1,3.3,4.3,2.4,1.1,0.7,1.7,2.4,15.6
122,Dante Exum,PG,28,DAL,20,4,15,2.9,5.4,0.528,0.8,1.9,0.405,2.1,3.6,0.592,0.597,0.9,1.4,0.667,0.7,2.2,2.8,2.4,0.5,0.2,0.5,1.3,7.4
123,Josh Green,SG,23,DAL,18,5,25.2,2.6,6.1,0.422,1.3,3.5,0.365,1.3,2.6,0.5,0.528,0.5,0.9,0.529,0.6,2.3,2.9,2.4,0.9,0.2,0.9,1.7,6.9
124,Davion Mitchell,PG,25,SAC,17,3,15,1.5,4.3,0.342,0.7,2.5,0.279,0.8,1.8,0.433,0.425,0.6,0.6,0.909,0.1,0.9,1.1,2.4,0.3,0.1,0.8,1.4,4.2
125,Cameron Payne,PG,29,MIL,23,2,17.1,2.5,5.1,0.483,1.3,2.9,0.439,1.2,2.3,0.538,0.606,0.3,0.3,1,0,1.3,1.3,2.4,0.4,0.1,0.9,2,6.6
126,Brandin Podziemski,SG,20,GSW,17,0,19.7,3.1,6.5,0.477,1.1,2.5,0.442,2,4,0.5,0.563,0.7,1.1,0.632,1.4,3.4,4.8,2.4,0.5,0.1,1.1,1.7,8.1
127,Santi Aldama,PF,23,MEM,16,5,26.4,4.9,11.4,0.434,1.7,5.3,0.318,3.3,6.1,0.536,0.508,1.1,1.8,0.621,1.6,4.4,6.1,2.3,0.8,0.8,1.1,1.7,12.7
128,Jarrett Allen,C,25,CLE,19,19,28.3,5.2,7.7,0.671,0,0,,5.2,7.7,0.671,0.671,2.3,3.3,0.694,2.9,5.1,8.1,2.3,0.7,1,1.7,3,12.6
129,Bogdan Bogdanovi?,SG,31,ATL,22,2,27.5,6.2,13.5,0.463,3.4,8.5,0.403,2.8,5,0.564,0.59,1.4,1.5,0.938,0.4,3,3.4,2.3,1.4,0.3,1.3,2.6,17.2
130,Malaki Branham,SG,20,SAS,22,10,20.9,3.4,8,0.42,0.9,3.2,0.286,2.5,4.8,0.509,0.477,0.5,0.5,0.917,0.3,1.3,1.5,2.3,0.4,0.1,1.1,1.3,8.1
131,Alex Caruso,SG,29,CHI,20,9,23.5,3.4,6.3,0.536,1.6,3.5,0.464,1.8,2.8,0.625,0.664,1.2,1.6,0.774,1.3,2.2,3.4,2.3,1.3,0.8,1.4,2.3,9.5
132,Malachi Flynn,PG,25,TOR,23,0,16.1,2,4.6,0.438,0.9,2.6,0.35,1.1,2,0.556,0.538,0.6,0.8,0.778,0.4,1.6,2,2.3,0.7,0.2,1,1.3,5.5
133,Jordan Goodwin,PG,25,PHO,23,0,17.7,2.5,6.1,0.407,1,2.8,0.338,1.5,3.3,0.467,0.486,0.9,1,0.87,1.1,2.8,4,2.3,0.7,0.3,0.8,1.3,6.8
134,Dario Šari?,C,29,GSW,23,4,21.5,3.7,8.1,0.46,1.7,4.3,0.388,2.1,3.9,0.539,0.561,1.8,2.2,0.82,1.7,4.3,6,2.3,0.7,0.3,1.2,2.5,10.9
135,Jonas Valan?i?nas,C,31,NOP,24,24,27,5.4,9.7,0.558,0.7,1.9,0.356,4.8,7.8,0.606,0.592,2.5,3.1,0.797,2.3,6.7,9,2.3,0.5,1.3,1.3,3.2,14
136,Jerami Grant,PF,29,POR,19,19,34.9,7.3,16.7,0.437,2.6,6.3,0.412,4.7,10.5,0.452,0.514,4.9,5.9,0.83,0.7,3.2,3.8,2.2,0.8,0.9,2.5,2.2,22.1
137,Bennedict Mathurin,SF,21,IND,21,12,25.3,5,11.2,0.447,1.3,3.4,0.375,3.7,7.8,0.479,0.504,2.5,3.1,0.8,1.2,2.8,4,2.2,0.6,0.2,1.4,2,13.8
138,Brandon Miller,SF,21,CHO,19,13,31.6,5.5,12.4,0.447,1.9,4.8,0.402,3.6,7.5,0.476,0.526,1.6,2,0.816,1.1,3.2,4.2,2.2,0.6,0.6,1.5,3,14.6
139,Jakob Poeltl,C,28,TOR,23,23,26.6,4.9,6.8,0.724,0,0,,4.9,6.8,0.724,0.724,1,2,0.489,2.9,5.4,8.3,2.2,0.7,1.1,1.5,2.7,10.8
140,Bismack Biyombo,C,31,MEM,17,15,24.3,2.4,4.2,0.577,0,0,,2.4,4.2,0.577,0.577,1.1,1.8,0.6,2.4,4.3,6.7,2.1,0.4,1.2,1.2,2.8,5.9
141,Terance Mann,SG,27,LAC,17,13,26.8,2.7,6.1,0.442,0.6,2.8,0.234,2.1,3.4,0.614,0.495,0.7,1.1,0.632,1.2,2.6,3.8,2.1,0.8,0.4,0.7,1.9,6.8
142,Precious Achiuwa,C,24,TOR,17,0,18.2,3.2,7.1,0.458,0.6,2,0.324,2.6,5.1,0.512,0.504,0.9,1.6,0.593,2.1,4,6.1,2,0.6,0.4,1.4,1.9,8.1
143,Pat Connaughton,SF,31,MIL,18,0,23.1,2.1,5,0.422,1.1,3.3,0.339,1,1.7,0.581,0.533,0.4,0.7,0.667,0.7,2.8,3.5,2,0.5,0.2,0.8,1.1,5.8
144,Aaron Holiday,PG,27,HOU,18,1,18.4,2.8,5.7,0.485,1.3,2.9,0.434,1.5,2.8,0.54,0.597,0.6,0.7,0.833,0.3,1.7,2,2,0.5,0.1,0.4,1.9,7.4
145,Klay Thompson,SF,33,GSW,22,22,30,5.3,13.3,0.397,2.7,7.8,0.343,2.6,5.5,0.475,0.498,2.2,2.5,0.889,0.6,3.4,4,2,0.4,0.5,2,2.2,15.4
146,Nicolas Batum,PF,35,TOT,16,10,24.3,2.1,3.8,0.557,1.4,3,0.479,0.7,0.8,0.846,0.746,0.4,0.7,0.636,0.9,2.8,3.8,1.9,0.6,0.8,0.4,1.9,6.1
147,Goga Bitadze,C,24,ORL,21,18,21,2.9,4.9,0.588,0,0.2,0.2,2.8,4.6,0.608,0.593,1.6,2.2,0.717,2.1,3.9,6,1.9,0.7,1.7,0.7,2.4,7.3
148,Donte DiVincenzo,SG,27,NYK,22,4,20.3,3,7,0.422,2.1,5,0.427,0.8,2,0.409,0.575,0.6,0.9,0.684,0.7,2.2,2.9,1.9,0.8,0.3,1,1.5,8.6
149,Kristaps Porzi??is,C,28,BOS,17,17,30.3,6.5,12.2,0.529,1.7,5.1,0.337,4.8,7.2,0.664,0.599,4.5,5.5,0.828,1.5,5.1,6.6,1.9,0.8,1.6,1.4,3.2,19.2
150,Christian Braun,SG,22,DEN,25,0,20,3.4,6.9,0.486,0.6,1.6,0.39,2.7,5.3,0.515,0.532,1.3,1.7,0.744,0.8,3.1,3.9,1.8,0.4,0.3,0.8,1.7,8.6
151,Dillon Brooks,SF,28,HOU,20,20,31.2,4.9,10.5,0.462,1.8,4.6,0.396,3.1,6,0.513,0.548,1.8,2.2,0.837,0.8,2.8,3.6,1.8,1,0.1,1.9,4,13.3
152,Bilal Coulibaly,SF,19,WAS,21,1,26.6,3.3,6.4,0.519,1.1,2.9,0.4,2.2,3.6,0.613,0.607,1,1.7,0.629,0.7,3.4,4.1,1.8,1.1,0.7,1.6,1.8,8.9
153,Gary Harris,SG,29,ORL,18,3,21.8,2.6,5.9,0.443,1.5,4.2,0.36,1.1,1.7,0.645,0.571,1.1,1.3,0.792,0.5,1.4,1.9,1.8,0.9,0.3,0.5,1.5,7.8
154,Jaren Jackson Jr.,C,24,MEM,22,22,31.4,7.1,16.3,0.437,1.7,5.1,0.33,5.5,11.2,0.486,0.489,4.9,5.8,0.836,1.6,4.2,5.8,1.8,0.6,1.8,1.9,3.5,20.8
155,Doug McDermott,SF,32,SAS,20,0,16.8,2.3,4.9,0.469,1.8,3.8,0.474,0.5,1.1,0.455,0.653,0.3,0.4,0.75,0.2,1,1.2,1.8,0.4,0.1,0.7,1.3,6.7
156,Keegan Murray,SF,23,SAC,18,18,32.2,5.2,12.5,0.413,2.1,6.8,0.309,3.1,5.7,0.539,0.498,1.3,1.6,0.857,1.5,4.2,5.7,1.8,1.2,0.4,1.1,2.7,13.8
157,Jabari Smith Jr.,PF,20,HOU,20,20,30.3,4.9,10.2,0.483,1.6,4.4,0.356,3.4,5.8,0.578,0.559,1.2,1.5,0.767,1.8,6.9,8.7,1.8,0.6,0.8,1.4,3.1,12.5
158,Ayo Dosunmu,SG,24,CHI,23,3,19.4,2.4,5.2,0.462,0.8,2.3,0.333,1.6,2.8,0.569,0.538,0.7,0.9,0.8,0.4,1.3,1.7,1.7,0.7,0.1,0.8,1.7,6.3
159,Daniel Gafford,C,25,WAS,19,19,24.8,4.2,6.1,0.69,0,0,,4.2,6.1,0.69,0.69,1.5,2.3,0.651,2.6,4.6,7.2,1.7,0.6,2.1,1.1,3.4,9.9
160,Jordan Hawkins,SG,21,NOP,23,9,26,3.9,10,0.387,2.4,6.7,0.366,1.4,3.3,0.429,0.509,1.7,2,0.87,0.7,2.8,3.5,1.7,0.4,0,1,1.9,11.9
161,Grant Williams,PF,25,DAL,20,20,29.4,3.5,7.8,0.442,2.4,5.7,0.425,1.1,2.2,0.488,0.596,1,1.6,0.645,1.2,2.6,3.7,1.7,0.3,0.6,0.9,2.7,10.3
162,Deandre Ayton,C,25,POR,18,18,31.9,6,10.2,0.587,0,0,,6,10.2,0.587,0.587,0.9,1.2,0.81,3.1,7.7,10.8,1.6,1.2,0.7,1.9,2.6,12.9
163,Tim Hardaway Jr.,SF,31,DAL,20,0,28.2,6,13.9,0.428,3.6,9.1,0.39,2.4,4.8,0.5,0.556,2.3,2.6,0.882,0.4,3,3.4,1.6,0.3,0,0.8,1.1,17.7
164,Corey Kispert,SF,24,WAS,21,1,22.9,3.7,8.2,0.448,2,5.2,0.376,1.7,3,0.571,0.567,1.6,2,0.767,0.5,2,2.5,1.6,0.4,0,1,1.9,10.9
165,Shake Milton,SG,27,MIN,22,0,16.5,2,5.4,0.381,0.5,2,0.25,1.5,3.4,0.459,0.428,1.5,1.9,0.829,0.2,1.6,1.9,1.6,0.6,0.1,1,1.6,6.1
166,Cedi Osman,SF,28,SAS,22,1,19.3,3.1,6.7,0.459,1.4,3.7,0.366,1.7,3,0.576,0.561,0.6,0.9,0.65,0.5,1.7,2.2,1.6,0.5,0.2,0.7,1.7,8.1
167,Michael Porter Jr.,SF,25,DEN,25,25,31.7,6.5,13.7,0.475,2.8,7.3,0.383,3.7,6.4,0.581,0.577,1.1,1.5,0.737,1.6,6.4,8,1.6,0.5,0.8,1.2,2.3,17
168,Lonnie Walker IV,SG,25,BRK,17,0,21.3,5.2,10.6,0.489,2.6,5.6,0.463,2.6,5,0.518,0.611,1.7,2.2,0.763,0.2,2.5,2.6,1.6,0.6,0.4,1.5,0.9,14.6
169,Harrison Barnes,PF,31,SAC,22,22,30.8,3.9,8.2,0.472,1.7,4.5,0.38,2.1,3.6,0.588,0.578,1.9,2.3,0.824,0.9,2.5,3.3,1.5,0.7,0.2,0.8,1.1,11.4
170,Jaden Hardy,SG,21,DAL,19,0,12.8,2.4,6.3,0.383,0.9,2.9,0.327,1.5,3.4,0.431,0.458,0.9,1.4,0.667,0.4,1.2,1.6,1.5,0.3,0,0.8,1.1,6.7
171,Brook Lopez,C,35,MIL,23,23,30.7,5.1,10.2,0.502,1.9,5.3,0.352,3.3,4.9,0.664,0.594,1.6,2,0.783,1.4,3.6,5,1.5,0.9,2.8,0.9,2.6,13.7
172,Onyeka Okongwu,C,23,ATL,22,0,23.3,3.1,5.6,0.548,0.2,1.1,0.2,2.9,4.5,0.636,0.569,2,2.3,0.843,2.5,4.2,6.8,1.5,0.5,0.8,0.7,2.9,8.4
173,Dwight Powell,C,32,DAL,20,1,14.3,1.3,1.8,0.714,0.1,0.1,1,1.2,1.7,0.706,0.729,1.6,2,0.8,1.2,1.8,3,1.5,0.5,0.4,0.5,1.9,4.2
174,Taurean Prince,PF,29,LAL,22,22,29.8,3.4,7.7,0.435,1.8,4.6,0.386,1.6,3.1,0.507,0.55,0.6,0.8,0.722,0.3,2.3,2.5,1.5,0.7,0.4,0.8,2.1,9.1
175,Malik Beasley,SG,27,MIL,23,23,30.1,4.4,9,0.486,3,6.6,0.464,1.3,2.5,0.544,0.654,0.3,0.5,0.667,0.6,3.8,4.3,1.4,0.9,0.1,0.7,2,12.2
176,Anthony Black,PG,20,ORL,21,17,19.2,1.9,3.8,0.494,0.3,1.2,0.269,1.5,2.5,0.604,0.538,0.8,1.2,0.64,0.5,1.7,2.2,1.4,0.4,0.4,1,2.1,4.8
177,Drew Eubanks,C,26,PHO,22,0,17.8,2.6,4.5,0.592,0.1,0.1,1,2.5,4.4,0.583,0.602,1.2,1.4,0.839,1.5,3.1,4.5,1.4,0.2,1,1.2,2.1,6.5
178,Danilo Gallinari,PF,35,WAS,20,0,15.7,2.5,5.6,0.45,0.8,2.6,0.308,1.7,3,0.576,0.523,1.7,2,0.825,0.5,2.7,3.2,1.4,0.3,0.2,0.5,1.2,7.5
